sess,conc,lvl,notch_abs,dnotch
2,200,2.0,-16.330759786490006,-0.3035072865174868
2,200,2.0,-16.3170920925499,-0.2898395925773798
2,220,3.0,-16.347561871864716,-0.320309371892197
2,220,3.0,-16.35340022600223,-0.3261477260297099
2,220,3.0,-16.34520251806686,-0.31795001809434
2,240,3.0,-16.347561871864716,-0.320309371892197
2,240,3.0,-16.34638390725096,-0.3191314072784408
2,240,3.0,-16.349907515889964,-0.3226550159174444
2,260,3.0,-16.36369219887856,-0.336439698906041
2,260,3.0,-16.30223077470414,-0.2749782747316196
2,260,3.0,-16.36369219887856,-0.336439698906041
2,280,3.0,-16.35340022600223,-0.3261477260297099
2,280,3.0,-16.347561871864716,-0.320309371892197
2,280,3.0,-16.356861960688086,-0.3296094607155666
2,300,3.0,-16.35571149556498,-0.3284589955924595
2,300,3.0,-16.354557583060288,-0.3273050830877686
2,300,3.0,-16.408287942832935,-0.3810354428604157
2,45,0.0,-16.20690674256036,-0.17965424258784068
2,45,0.0,-16.15472938637358,-0.12747688640106247
2,45,0.0,-16.15472938637358,-0.12747688640106247
2,50,0.0,-16.171316021417034,-0.14406352144451517
2,50,0.0,-16.167815708766614,-0.14056320879409512
2,50,0.0,-16.214224218977243,-0.18697171900472398
2,55,0.0,-16.166642378170522,-0.13938987819800275
2,55,0.0,-16.165465772282193,-0.13821327230967384
2,55,0.0,-16.166642378170522,-0.13938987819800275
2,60,0.0,-16.175937085227275,-0.14868458525475603
2,60,0.0,-16.13474460363898,-0.10749210366645912
2,60,0.0,-16.183896907105755,-0.15664440713323557
2,65,0.0,-16.163102745623906,-0.13585024565138681
2,65,0.0,-16.183896907105755,-0.15664440713323557
2,65,0.0,-16.193892102561435,-0.16663960258891564
2,70,1.0,-16.226156048163066,-0.1989035481905468
2,70,1.0,-16.190590331400557,-0.16333783142803782
2,70,1.0,-16.24455444760416,-0.2173019476316398
2,80,1.0,-16.215432279743514,-0.18817977977099432
2,80,1.0,-16.2212411116736,-0.19398861170108006
2,80,1.0,-16.2212411116736,-0.19398861170108006
2,90,1.0,-16.237755484202196,-0.21050298422967728
2,90,1.0,-16.214224218977243,-0.18697171900472398
2,90,1.0,-16.237755484202196,-0.21050298422967728
